,Timestamp,Which course are you enrolled in?,How did you hear about County College of Morris? [CCM Web site],"Hear, Social Media","Hear, Community Event","Hear, Family/Friend","Hear, CCM Student","Hear, CCM Alumni","Hear, HS Teacher","Hear, HS Counselor","Hear, Advertisement","Hear, Employer","Hear, Billboard","Hear, TV","Hear, Radio","Hear, Other","Impact, Cost","Impact, Location","Impact, Programs","Impact, Online","Impact, Family/Friend","Impact, Faculty/Staff","Impact, Reputation","Impact, Fiancial Aid","Impact, Scholarships","Impact, Class size","Impact, Extra-cirriculars","Impact, Transfer Credits","Impact, Prior Negative Experience","Impact, NJ Stars Program","Impact, Transfer to 4-Year","Impact, Credits while in HS","Prior, Open House","Prior, Instant Decision","Prior, Info Session","Prior, Open Titans Tuesday","Prior, Women Who Dare","Prior, Regional College Fair","Prior, Open HS Sharetime","Prior, Open Challenger Program","Prior, Open Cyber Info","Prior, Open HS Info Session","Prior, HS Campus Visit","Prior, Individual Campus Visit","Prior, Workforce Development","Prior, Corporate Training","Prior, Teen Arts Festival","Prior, Summer Camp","Prior, Corporate Training","Recieve, HS Teacher","Recieve, CCM IT Website","Recieve, Corporate Admissions","Recieve, Corporate Advisor/Counselor","Recieve, Corporate Employer","Recieve, Corporate Workforce Development","Recieve, Corporate NJ Workforce Development","Recieve, Corporate other",Rating (1-5)
0,2024/09/09 12:33:58 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,,,,,,,,,,2.0
1,2024/09/09 6:00:11 PM AST,,No,No,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,No Impact,,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,,,No Impact,No Impact,,Yes,No,No,No,No,Not Sure,No,No,No,No,No,No,No,No,No,Not Sure,Don't recall,Don't recall,No,No,No,No,No,No,Don't recall,
2,2024/09/10 9:00:12 AM AST,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
3,2024/09/10 12:34:53 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,,,,,,,,,,3.0
4,2024/09/10 3:06:47 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't recall,Don't recall,No,No,No,Yes,No,No,Yes,
5,2024/09/10 3:07:28 PM AST,CMP 128 Computer Science I,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,4.0
6,2024/09/10 3:07:36 PM AST,CMP 128 Computer Science I,Yes,Yes,Don't recall,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,2.0
7,2024/09/10 3:07:42 PM AST,CMP 128 Computer Science I,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,3.0
8,2024/09/10 3:07:51 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,
9,2024/09/10 3:08:06 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
10,2024/09/10 3:08:12 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
11,2024/09/10 3:08:18 PM AST,CMP 128 Computer Science I,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,1.0
12,2024/09/10 3:08:20 PM AST,CMP 128 Computer Science I,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,
13,2024/09/10 3:08:38 PM AST,CMP 128 Computer Science I,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,
14,2024/09/10 3:08:43 PM AST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
15,2024/09/10 3:08:50 PM AST,CMP 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,
16,2024/09/10 3:09:36 PM AST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Don't recall,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,4.0
17,2024/09/10 3:09:48 PM AST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
18,2024/09/10 3:11:07 PM AST,CMP 128 Computer Science I,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,5.0
19,2024/09/10 3:15:10 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,
20,2024/09/10 5:17:34 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
21,2024/09/10 5:24:45 PM AST,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Yes,No,Don't recall,No,Yes,No,No,No,No,No,Don't recall,Some Impact,High Impact,,,High Impact,,,High Impact,,,,,,High Impact,High Impact,,No,No,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,No,
22,2024/09/10 7:17:19 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't recall,No,No,No,No,
23,2024/09/10 7:17:55 PM AST,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,
24,2024/09/10 7:18:04 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,2.0
25,2024/09/10 7:18:59 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,3.0
26,2024/09/10 7:20:01 PM AST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,
27,2024/09/10 7:20:25 PM AST,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,4.0
28,2024/09/10 7:20:36 PM AST,CMP 128 Computer Science I,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,
29,2024/09/10 7:24:54 PM AST,CMP 128 Computer Science I,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Don't recall,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,Not Sure,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
30,2024/09/10 7:37:14 PM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
31,2024/09/10 7:38:34 PM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,,Some Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,
32,2024/09/10 7:38:39 PM AST,CMP 120 Foundations of Information Security,No,No,No,No,Yes,Don't recall,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,,,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
33,2024/09/10 7:38:52 PM AST,CMP 120 Foundations of Information Security,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,High Impact,,,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,
34,2024/09/10 7:39:17 PM AST,CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,
35,2024/09/10 7:39:31 PM AST,CMP 120 Foundations of Information Security,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Don't recall,High Impact,High Impact,Some Impact,,No Impact,Some Impact,High Impact,,High Impact,High Impact,No Impact,High Impact,No Impact,,High Impact,,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Not Sure,No,No,No,No,No,Yes,No,No,No,No,No,Yes,
36,2024/09/10 7:39:31 PM AST,CMP 120 Foundations of Information Security,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,
37,2024/09/10 7:39:36 PM AST,CMP 120 Foundations of Information Security,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,
38,2024/09/10 7:40:10 PM AST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Don't recall,Don't recall,No,Yes,No,No,No,No,No,
